Unnamed: 0;question;answer;tag
10.0;Does Amazon SageMaker use or share models, training data, or algorithms?;Amazon SageMaker does not use or share customer models, training data, or algorithms. We know that customers care deeply about privacy and data security. That's why AWS gives you ownership and control over your content through simple, powerful tools that allow you to determine where your content will be stored, secure your content in transit and at rest, and manage your access to AWS services and resources for your users. We also implement responsible and sophisticated technical and physical controls that are designed to prevent unauthorized access to or disclosure of your content. As a customer, you maintain ownership of your content, and you select which AWS services can process, store, and host your content. We do not access your content for any purpose without your consent.;General
11.0;Is there any utilization or distribution of models, training data, or algorithms by Amazon SageMaker?;Amazon SageMaker ensures customer privacy and data security by not utilizing or distributing customer models, algorithms or training data. This is important to AWS as customers highly value privacy and security. In order to give content control and ownership to customers, AWS provides effective and user-friendly tools that ensure the controlling of content storage locations, secure protection of content in transit or in storage and access management to services and resources for users. AWS also implements advanced technical and physical controls that responsibly prevent unauthorized access to customer content without consent. Customers have full ownership of their content with the ability to select AWS services for processing, storage and hosting purposes. In summary, AWS does not access customer content without expressed approval of the customer.;General
12.0;How am I charged for Amazon SageMaker?;"You pay for ML compute, storage, and data processing resources you use for hosting the notebook, training the model, performing predictions, and logging the outputs. Amazon SageMaker allows you to select the number and type of instance used for the hosted notebook, training, and model hosting. You pay only for what you use, as you use it; there are no minimum fees and no upfront commitments. See the Amazon SageMaker pricing page and the Amazon SageMaker Pricing calculator for details.";General
13.0;In what manner will I be billed for Amazon SageMaker?;In Amazon SageMaker, you can choose the instance type and number for your notebook, training, and model hosting. You will only be charged for the resources you use at the time of usage, with no upfront commitments or minimum fees. The pricing details can be found on the Amazon SageMaker pricing page and calculator.;General
14.0;How can I optimize my Amazon SageMaker costs, such as detecting and stopping idle resources in order to avoid unnecessary charges?;"There are several best practices you can adopt to optimize your Amazon SageMaker resource utilization. Some approaches involve configuration optimizations; others involve programmatic solutions. A full guide on this concept, complete with visual tutorials and code samples, can be found in this blog post.";General
15.0;In what ways can I efficiently manage my expenses on Amazon SageMaker, like identifying and terminating inactive resources to prevent unnecessary expenses?;This blog post provides a complete guide, including visual tutorials and code samples, on the various approaches for optimizing the utilization of Amazon SageMaker resources, which include both configuration optimizations and programmatic solutions.;General
16.0;What if I have my own notebook, training, or hosting environment?;Amazon SageMaker provides a full end-to-end workflow, but you can continue to use your existing tools with SageMaker. You can easily transfer the results of each stage in and out of SageMaker as your business requirements dictate.;General
17.0;If I possess my personal notebook, training, or hosting setting, what would occur?;Amazon SageMaker offers a complete workflow from start to finish, but you are able to keep using your current tools while using SageMaker. It is simple to move the outcomes of each step in and out of SageMaker based on what your company needs.;General
18.0;Is R supported with Amazon SageMaker?;Yes, R is supported with Amazon SageMaker. You can use R within SageMaker notebook instances, which include a preinstalled R kernel and the reticulate library. Reticulate offers an R interface for the Amazon SageMaker Python SDK, enabling ML practitioners to build, train, tune, and deploy R models.;General
19.0;Does Amazon SageMaker provide support for R?;Amazon SageMaker supports the use of R. It includes a preinstalled R kernel and the reticulate library within the SageMaker notebook instances. Additionally, reticulate provides an interface for the Amazon SageMaker Python SDK, allowing machine learning practitioners to create, train, refine, and deploy R models.;General
20.0;How can I check for imbalances in my model?;Amazon SageMaker Clarify helps improve model transparency by detecting statistical bias across the entire ML workflow. SageMaker Clarify checks for imbalances during data preparation, after training, and ongoing over time, and also includes tools to help explain ML models and their predictions. Findings can be shared through explainability reports.;General
21.0;What methods can I use to detect any irregularities in my model?;Amazon SageMaker Clarify can enhance model transparency by identifying statistical distortion across the complete machine learning process. It examines for disparities during data preparation, after training, and continuously over time. Besides, it comprises features to clarify machine learning models and their predictions. The reports of the findings can be circulated via explainability reports.;General
22.0;What kind of bias does Amazon SageMaker Clarify detect?;Measuring bias in ML models is a first step to mitigating bias. Bias may be measured before training and after training, as well as for inference for a deployed model. Each measure of bias corresponds to a different notion of fairness. You need to choose bias notions and metrics that are valid for the application and the situation under investigation. SageMaker currently supports the computation of different bias metrics for training data (as part of SageMaker data preparation), for the trained model (as part of Amazon SageMaker Experiments), and for inference for a deployed model (as part of Amazon SageMaker Model Monitor). For example, before training, we provide metrics for checking whether the training data is representative (that is, whether one group is underrepresented) and whether there are differences in the;General
23.0;What type of prejudice can Amazon SageMaker Clarify identify?;Measuring biases in machine learning models is a crucial initial step to decrease bias. The measurement of bias can be carried out before and after training, as well as during the inference stage for a model that has been deployed. Different notions of fairness correspond to each measure of bias, therefore, it is important to select appropriate bias notions and metrics suitable for the given application and context under examination. SageMaker has the capability to compute various bias metrics for training data, trained models, and inference stages of deployed models. For example, before training, one can utilize metrics to verify the representativeness of training data and identify any under-represented groups and variations.;General
24.0;How does Amazon SageMaker Clarify improve model explainability?;Amazon SageMaker Clarify is integrated with Amazon SageMaker Experiments to provide a feature importance graph detailing the importance of each input for your model’s overall decision-making process after the model has been trained. These details can help determine if a particular model input has more influence than it should on overall model behavior. SageMaker Clarify also makes explanations for individual predictions available via an API.;General
25.0;In what way does Amazon SageMaker Clarify enhance the interpretability of a model?;Amazon SageMaker Clarify is coupled with Amazon SageMaker Experiments for presenting a graph that shows the significance of each input toward your model's final decision-making process once the model is trained. This information may assist in determining whether a particular input has a more significant effect than it should on the model's behavior. SageMaker Clarify also provides an API to make observations on individual predictions feasible.;General
26.0;What is Amazon SageMaker Studio?;Amazon SageMaker Studio provides a single, web-based visual interface where you can perform all ML development steps. SageMaker Studio gives you complete access, control, and visibility into each step required to prepare data and build, train, and deploy models. You can quickly upload data, create new notebooks, train and tune models, move back and forth between steps to adjust experiments, compare results, and deploy models to production all in one place, making you much more productive. All ML development activities including notebooks, experiment management, automatic model creation, debugging and profiling, and model drift detection can be performed within the unified SageMaker Studio visual interface.;General
27.0;What exactly do we mean by Amazon SageMaker Studio?;Amazon SageMaker Studio offers a singular visual interface that enables you to carry out every step of ML development. This interface grants you full control, access and awareness of every step needed to generate, train, and deploy models, as well as prepare data. In one convenient location, you can easily upload data, manufacture fresh notebooks, experiment with models, adjust experiments as required, compare results, and deploy models to production, making your work more efficient. All activities related to ML development, including automatic model creation, experiment management, model drift detection, debugging and profiling, and notebooks, can be accomplished through the unified visual interface of SageMaker Studio.;General
28.0;What is RStudio on Amazon SageMaker?;RStudio on Amazon SageMaker is the first fully managed RStudio Workbench in the cloud. You can quickly launch the familiar RStudio integrated development environment (IDE) and dial up and down the underlying compute resources without interrupting your work, making it easy to build machine learning (ML) and analytics solutions in R at scale. You can seamlessly switch between the RStudio IDE and Amazon SageMaker Studio notebooks for R and Python development. All your work, including code, datasets, repositories, and other artifacts, is automatically synchronized between the two environments to reduce context switch and boost productivity.;General
;What is the pricing model for Amazon SageMaker Studio?;Amazon SageMaker Studio does not have any extra costs. You will only be charged for the computing and storage services used within Amazon SageMaker Studio.;General
;What pricing method does Amazon SageMaker Studio utilize?;There are no additional fees for Amazon SageMaker Studio, only for the computing and storage services utilized within the platform.;General
;In which Regions is Amazon SageMaker Studio supported?;You can find the Regions where Amazon SageMaker Studio is supported in the documentation here.;General
;What areas does Amazon SageMaker Studio have support for?;The regions where Amazon SageMaker Studio is available can be found in the documentation located here.;General
;What are the regions where Amazon SageMaker Studio is available?;The documentation provides information about the areas where Amazon SageMaker Studio is available.;General
;In which areas is Amazon SageMaker Studio accessible?;The documentation includes details about the regions in which Amazon SageMaker Studio can be accessed.;General
;How do I get started with Amazon SageMaker quickly?;Amazon SageMaker JumpStart helps you quickly and easily get started with ML. It provides a set of solutions for common use cases that can be deployed readily with just a few clicks. The solutions are fully customizable and showcase the use of AWS CloudFormation templates and reference architectures, allowing you to accelerate your ML journey. SageMaker JumpStart also offers foundation models and supports one-click deployment and fine-tuning of over 150 popular open-source models, including transformer, object detection, and image classification models.;Low-code ML
;What are the quick steps to begin using Amazon SageMaker?;Amazon SageMaker JumpStart provides ready-to-use solutions for common machine learning use cases that can be easily deployed with just a few clicks. These solutions are highly customizable and illustrate the use of AWS CloudFormation templates and reference architectures, allowing for faster progress in machine learning. Additionally, SageMaker JumpStart includes foundation models and supports quick deployment and fine-tuning of over 150 popular open-source models, such as transformer, object detection, and image classification models.;Low-code ML
;What are the quick steps to initiate Amazon SageMaker?;Amazon SageMaker JumpStart facilitates a smooth and swift approach to Machine Learning (ML) initiation. It offers a series of pre-designed solutions targeted at conventional application scenarios that can be effortlessly launched with minimal steps. These solutions can be easily personalized and exhibit the use of AWS CloudFormation templates and reference architectures, hence expediting the ML process. SageMaker JumpStart further extends its utility by providing essential models and grants seamless deployment and tuning of more than 150 prevalent open-source models, including transformer, object detection, and image classification models, with just a single click.;Low-code ML
;What are the simple steps needed to start Amazon SageMaker?;Amazon SageMaker JumpStart simplifies and accelerates the process of starting Machine Learning (ML). It presents a collection of pre-made solutions that cater to typical application situations, which can be easily launched with minimal effort. These solutions can also be customized and utilize AWS CloudFormation templates and reference architectures, making the ML process faster. SageMaker JumpStart also comes with pre-built models and allows for effortless deployment and tuning of over 150 popular open-source models such as transformer, object detection, and image classification models, with a single click.;Low-code ML
;How does Amazon SageMaker JumpStart help protect and secure my data?;SageMaker JumpStart prioritizes security and gives you ownership and control over your content. It provides simple and powerful tools to determine where your content will be stored, secure your content in transit and at rest, and manage your access to AWS services and resources. Customer training and inference information is not shared with model sellers on AWS Marketplace, and model artifacts such as weights are not shared with the buyer. SageMaker JumpStart does not utilize customer models, training data, or algorithms to improve its service and does not share customer training and inference data with third parties. Model artifacts in SageMaker JumpStart are encrypted in transit and at rest. Under the AWS Shared Responsibility Model, AWS is responsible for protecting the global infrastructure of the AWS Cloud, while you are responsible for maintaining control over your hosted content. When using a model from AWS Marketplace or SageMaker JumpStart, users assume responsibility for the model output quality and acknowledge the capabilities and limitations described in the individual model description.;Low-code ML
;In what way does Amazon SageMaker JumpStart ensure the protection and security of my data?;SageMaker JumpStart focuses on security and allows you to have complete ownership and control of your content. There are user-friendly and robust tools available to decide where your content will be stored, protect your content both in transit and at rest, as well as manage access to AWS services and resources. The seller of models on AWS Marketplace will not know about customer training or inference information, and they will not be given access to model artifacts such as weights. SageMaker JumpStart will not use your models, training data, or algorithms to enhance its service and will not disclose your training and inference data with others. The encrypted model artifacts are safe in transit and at rest. As part of the AWS Shared Responsibility Model, AWS is responsible for safeguarding the worldwide infrastructure of the AWS Cloud, while you are accountable for maintaining authority over your hosted content. Whenever you use a model from AWS Marketplace or SageMaker JumpStart, you are accepting responsibility for the quality of the model output and recognizing the attributes and drawbacks that are explained in the individual model description.;Low-code ML
;In what way does Amazon SageMaker JumpStart provide safeguards to ensure the protection and security of my information?;SageMaker JumpStart is designed to ensure security and enable you to have full control of your content. This platform provides easy-to-use and effective methods to determine where your content is stored, protect your content during transmission and storage, and manage your access to resources and AWS services. The training and inference data of customers is not shared with model sellers on AWS Marketplace, and the weights of model artifacts are not disclosed to buyers. SageMaker JumpStart does not use the models, training data, or algorithms of customers to enhance its services, and it does not reveal training and inference data with third parties. In SageMaker JumpStart, the data of model artifacts is encrypted when being transmitted and stored. According to the AWS Shared Responsibility Model, AWS is responsible for safeguarding the entire infrastructure of the AWS Cloud while you are responsible for managing your hosted content. When you use a model from AWS Marketplace or SageMaker JumpStart, you are accountable for the output quality of the model and acknowledge the strengths and restrictions mentioned in the individual model descriptions.;Low-code ML
;How does Amazon SageMaker JumpStart ensure the security and protection of my information?;SageMaker JumpStart offers a secure platform that gives you complete control of your content. The platform includes user-friendly features to help you locate where your content is kept, safeguard it during storage and transfer, as well as manage your access to resources and AWS services. Customers' training and inference data is never shared with model sellers or third parties, and the weights of model artifacts are kept confidential from buyers. In addition, SageMaker JumpStart does not utilize a customer's models, training data, or algorithms, nor does it provide access to training and inference data with outside entities. SageMaker JumpStart encrypts data regarding model artifacts during transmission and storage. Under the AWS Shared Responsibility Model, AWS is responsible for securing the entire infrastructure of the AWS Cloud. However, users are accountable for managing their hosted content. Users are responsible for ensuring the output quality of the model when using AWS Marketplace or SageMaker JumpStart, and must acknowledge any limitations stated in the individual model descriptions.;Low-code ML
;Which foundation models are available in Amazon SageMaker JumpStart?;Amazon SageMaker JumpStart provides two types of foundation models: publicly available models and proprietary models. Publicly available models include FLAN T5, Bloom, GTP-2, and Stable Diffusion models, which can be discovered through SageMaker JumpStart in the SageMaker Studio UI, JumpStart in the AWS console, and SageMaker JumpStart APIs. These models can be fine-tuned and/or deployed to endpoints under your AWS account, and you fully own the model weights and script codes. Training jobs and endpoints are charged at hourly rates based on SageMaker pricing. Proprietary models, such as Jurassic models from AI21, Cohere model from Cohere, and the Lyra-Fr model from LightOn, can also be discovered through SageMaker JumpStart in the AWS console, but they are currently under preview. Proprietary models can be evaluated using the try out feature and deployed to a SageMaker endpoint using an example Jupyter notebook. Evaluating models through the try out feature incurs no cost, but the endpoints deployed through the Jupyter notebook for these models are charged based on SageMaker pricing. Pricing for proprietary models is subject to change.;Low-code ML
;What are the available foundation models in Amazon SageMaker JumpStart?;Amazon SageMaker JumpStart offers two types of foundation models: available models for public use and models with proprietary rights. You can explore publicly available models such as FLAN T5, Bloom, GTP-2, and Stable Diffusion on SageMaker JumpStart's SageMaker Studio UI, JumpStart for the AWS console, and SageMaker JumpStart APIs. You have complete ownership of these models' weights and script codes and can adjust them to your needs and operate them on your AWS account. Hourly rates based on SageMaker pricing are applied for training jobs and endpoints. Proprietary models, like AI21's Jurassic models, Cohere's Cohere model, and LightOn's Lyra-Fr model, are also available to explore on SageMaker JumpStart in the AWS console, but they are currently under preview. You can try out these models without incurring costs and deploy them to a SageMaker endpoint using a Jupyter notebook example. Endpoints deployed through Jupyter notebooks are subject to SageMaker pricing. Pricing for proprietary models is subject to change.;Low-code ML
;What are the foundation models that can be found on Amazon SageMaker JumpStart?;Amazon SageMaker JumpStart offers a range of foundation models, including publicly available models and proprietary models. Publicly available models like FLAN T5, Bloom, GTP-2, and Stable Diffusion models can be accessed through SageMaker JumpStart in various ways and can be fine-tuned and deployed by users, who will own the models they create. Training jobs and endpoints are charged at hourly rates, based on SageMaker pricing. There are also proprietary models from various sources, such as Jurassic models from AI21, Cohere model from Cohere, and Lyra-Fr model from LightOn. Proprietary models can be evaluated through a try-out feature and can be deployed to a SageMaker endpoint using a provided Jupyter notebook. However, such models' pricing is subject to change.;Low-code ML
;Which foundational models are available on Amazon SageMaker JumpStart?;Amazon SageMaker JumpStart provides a selection of basic models, including ones that are publicly available and those that are exclusive to the program. Models such as Bloom, GTP-2, FLAN T5, and Stable Diffusion models can be accessed and modified by users through SageMaker JumpStart, and any models created by users belong to them. Pricing for training jobs and endpoints is determined by hourly rates. Additionally, there are proprietary models available from various sources, such as AI21's Jurassic models, Cohere's Cohere model, and LightOn's Lyra-Fr model. These models can be evaluated by users using a try-out feature and then deployed via a Jupyter notebook provided by SageMaker. However, the pricing for these models is subject to change.;Low-code ML
;How do I get started with foundation models using Amazon SageMaker JumpStart?;To get started with publicly available foundation models, you can access SageMaker JumpStart in SageMaker Studio. The getting started page provides a list of all publicly available foundation models. To get started with proprietary foundation models that are in preview, you can access SageMaker JumpStart in the AWS Console. The preview experience includes the try out feature for each model and a subscription process for proprietary models.;Low-code ML
;What are the initial steps to begin with foundation models on Amazon SageMaker JumpStart?;You can easily begin using publicly accessible foundation models by checking out the SageMaker JumpStart in SageMaker Studio. The initial page gives a comprehensive account of all foundation models that are publicly available. On the other hand, if you'd like to try out exclusive foundation models that are still in preview mode, you can access the SageMaker JumpStart through the AWS Console. The preview mode comprises an interactive model testing option for every foundation model and a subscription procedure for exclusive models.;Low-code ML
;What are the initial steps for utilizing foundational models with Amazon SageMaker JumpStart?;If you want to use foundation models that are publicly available, you can check out the SageMaker JumpStart feature in SageMaker Studio. You will find a list of all the available foundation models on the getting started page. For proprietary foundation models that are still in preview, you can access SageMaker JumpStart through the AWS Console. With this preview experience, you can try out each model and follow a subscription process to access proprietary models.;Low-code ML
;What are the first steps in using fundamental models with Amazon SageMaker JumpStart?;In case you are interested in utilizing publicly accessible foundation models, you may navigate to SageMaker JumpStart in SageMaker Studio to explore the list of existing options on the starting page. On the other hand, preview versions of proprietary foundation models can only be accessed through AWS Console, offering a trial experience to experiment with each model and initiate a subscription process to access exclusive foundations.;Low-code ML
;Will my data (from inference or training) be used or shared to update the base model?;No, your inference and training data will not be used or shared to update or train the base model that SageMaker JumpStart offers to customers.;Low-code ML
;Is it possible for my data obtained during training or inference to be employed or distributed for the purpose of updating the fundamental model?;Your inference and training data won't be utilized or disclosed for updating or training the basic model delivered to customers by SageMaker JumpStart.;Low-code ML
;Is it possible that the basic model will be updated with my inference or training data that is shared?;The data which you have inferred and trained will not be utilized or disclosed to improve or train the fundamental model provided by SageMaker JumpStart to its clients.;Low-code ML
;Could my shared inference or training data possibly be used to update the fundamental model?;The data you have analyzed and taught won't be used or revealed to enhance or educate the basic model offered by SageMaker JumpStart to its customers.;Low-code ML
;How do I get started with Amazon SageMaker quickly?;Amazon SageMaker JumpStart helps you quickly and easily get started with ML. It provides a set of solutions for common use cases that can be deployed readily with just a few clicks. The solutions are fully customizable and showcase the use of AWS CloudFormation templates and reference architectures, allowing you to accelerate your ML journey. SageMaker JumpStart also offers foundation models and supports one-click deployment and fine-tuning of over 150 popular open-source models, including transformer, object detection, and image classification models.;Low-code ML
;What is the quickest way to initiate Amazon SageMaker?;Amazon SageMaker JumpStart facilitates a fast and effortless initiation to Machine Learning. It offers a range of pre-built solutions for typical scenarios that can be easily set up by clicking just a few buttons. The solutions are fully adaptable and feature the use of AWS CloudFormation templates and reference models, which permits an earlier fulfillment in your Machine Learning process. SageMaker JumpStart features fundamental models and enables quick deployment and alteration of over 150 well-known open-source models, like transformer, object detection, and image classification models.;Low-code ML
;What are the initial steps to begin using Amazon SageMaker expeditiously?;Amazon SageMaker JumpStart is designed to aid in the speedy and stress-free initiation of ML. It offers a collection of pre-built models for typical scenarios that can be effortlessly set up with just a few clicks. The pre-built models are completely adaptable and exemplify the implementation of AWS CloudFormation templates and reference designs, which can quicken your progress in ML. SageMaker JumpStart comes equipped with base models and allows for easy deployment and optimization of over 150 well-known open-source models, including transformer, object detection, and image classification models.;Low-code ML
;What are the first actions needed to rapidly begin utilizing Amazon SageMaker?;Amazon SageMaker JumpStart is specifically created to assist with the quick and hassle-free initiation of ML. It comprises pre-built models that are suitable for common situations and can be easily set up through a simple few clicks. You have the flexibility to adapt the pre-built models entirely and they serve as a representation of the implementation of AWS CloudFormation templates and reference designs which can help enhance your ML progress. Along with the base models, SageMaker JumpStart enables swift deployment and optimization of more than 150 renowned open-source models such as transformer, object detection, and image classification models.;Low-code ML
;How does Amazon SageMaker JumpStart help protect and secure my data?;SageMaker JumpStart prioritizes security and gives you ownership and control over your content. It provides simple and powerful tools to determine where your content will be stored, secure your content in transit and at rest, and manage your access to AWS services and resources. Customer training and inference information is not shared with model sellers on AWS Marketplace, and model artifacts such as weights are not shared with the buyer. SageMaker JumpStart does not utilize customer models, training data, or algorithms to improve its service and does not share customer training and inference data with third parties. Model artifacts in SageMaker JumpStart are encrypted in transit and at rest. Under the AWS Shared Responsibility Model, AWS is responsible for protecting the global infrastructure of the AWS Cloud, while you are responsible for maintaining control over your hosted content. When using a model from AWS Marketplace or SageMaker JumpStart, users assume responsibility for the model output quality and acknowledge the capabilities and limitations described in the individual model description.;Low-code ML
;In what ways does Amazon SageMaker JumpStart ensure the protection and security of my data?;SageMaker JumpStart offers high priority to security, allowing users to have full ownership and control of their content. It provides efficient tools to determine the storage location of content, encryption of content both in transit and at rest, as well as managing user access to AWS services and resources. Any confidential information such as customer training data, inference data, or algorithms are not shared with third parties. In addition, SageMaker JumpStart does not utilize customer data to improve its services. Customers are responsible for the output quality of their models when using a model from AWS Marketplace or SageMaker JumpStart. The AWS Shared Responsibility Model specifies that AWS is liable for safeguarding the global infrastructure of the AWS Cloud and users are accountable for maintaining control over their hosted content.;Low-code ML
;In what ways does Amazon SageMaker JumpStart assist in safeguarding and ensuring the security of my data?;SageMaker JumpStart focuses on ensuring security and control over content, offering easy-to-use tools to select where content is saved, safeguard content during transit and storage, and manage AWS service and resource access. Model sellers on AWS Marketplace are not provided with customer training or inference information, and buyers are not given access to the model artifacts such as weights. SageMaker JumpStart does not use customer models, training data, or algorithms for service improvement and doesn't disclose customer training or inference data to third parties. The model artifacts in SageMaker JumpStart are protected through encryption during transit and at rest. The AWS Shared Responsibility Model stipulates that AWS is responsible for safeguarding the AWS Cloud global infrastructure, while users are accountable for governing their hosted content. When using a model from SageMaker JumpStart or AWS Marketplace, the users are responsible for the output quality of the model and should acknowledge its described capabilities and constraints individually.;Low-code ML
;How does Amazon SageMaker JumpStart help in protecting and guaranteeing the safety of my data?;SageMaker JumpStart provides tools to secure and control content including choosing where it is stored, protecting it during transit and storage, as well as managing access to AWS services and resources. Customers who sell models on AWS Marketplace are not given training or inference information, while those who purchase these models cannot access the model artifacts. SageMaker JumpStart does not utilize customer models, algorithms or training data to improve its services, and does not share customer training or inference data with third parties. Model artifacts are protected through encryption when in transit and at rest. Under the AWS Shared Responsibility Model, AWS is responsible for safeguarding the AWS Cloud infrastructure, while users are accountable for governing their content. SageMaker JumpStart users must acknowledge the model's capabilities and limitations and are responsible for the output quality of the model.;Low-code ML
;Which foundation models are available in Amazon SageMaker JumpStart?;Amazon SageMaker JumpStart provides two types of foundation models: publicly available models and proprietary models. Publicly available models include FLAN T5, Bloom, GTP-2, and Stable Diffusion models, which can be discovered through SageMaker JumpStart in the SageMaker Studio UI, JumpStart in the AWS console, and SageMaker JumpStart APIs. These models can be fine-tuned and/or deployed to endpoints under your AWS account, and you fully own the model weights and script codes. Training jobs and endpoints are charged at hourly rates based on SageMaker pricing. Proprietary models, such as Jurassic models from AI21, Cohere model from Cohere, and the Lyra-Fr model from LightOn, can also be discovered through SageMaker JumpStart in the AWS console, but they are currently under preview. Proprietary models can be evaluated using the try out feature and deployed to a SageMaker endpoint using an example Jupyter notebook. Evaluating models through the try out feature incurs no cost, but the endpoints deployed through the Jupyter notebook for these models are charged based on SageMaker pricing. Pricing for proprietary models is subject to change.;Low-code ML
;What are the different types of foundation models that can be found in Amazon SageMaker JumpStart?;Amazon SageMaker JumpStart includes two types of foundational models: publicly available and proprietary models. Discoverable through SageMaker JumpStart in the SageMaker Studio UI, JumpStart in the AWS console, and SageMaker JumpStart APIs, the publicly available models such as FLAN T5, Bloom, GTP-2, and Stable Diffusion models are fully customizable and can be fine-tuned and/or deployed to endpoints under your AWS account, at an hourly rate based on SageMaker pricing. You can also own the model weights and script codes. In addition, proprietary models such as Jurassic models from AI21, Cohere model from Cohere, and the Lyra-Fr model from LightOn can be found through SageMaker JumpStart, but they are currently under preview. These models can be evaluated through the try-out feature with no cost, but deploying the endpoints for these models using an example Jupyter notebook is charged based on SageMaker pricing. It is important to note that pricing for these proprietary models is subject to change.;Low-code ML
;What are the available foundation models offered in Amazon SageMaker JumpStart?;Amazon SageMaker JumpStart offers two kinds of foundation models, which are publicly available models and proprietary models. Publicly available models like FLAN T5, Bloom, GTP-2, and Stable Diffusion models are available on SageMaker JumpStart in the SageMaker Studio UI, JumpStart in the AWS console, and SageMaker JumpStart APIs. You can fine-tune and/or deploy these models to endpoints under your AWS account, and you have full ownership of the model weights and script codes. You will be charged hourly rates based on SageMaker pricing for training jobs and endpoints. On the other hand, proprietary models such as Jurassic models from AI21, Cohere model from Cohere, and the Lyra-Fr model from LightOn are preview models, which can be found on SageMaker JumpStart in the AWS console, and can be evaluated through the try-out feature. You can deploy these models to an endpoint using an example Jupyter notebook, and you will be charged according to SageMaker pricing for deployed endpoints. Nonetheless, evaluating models via the try-out feature will not incur any costs. Finally, it's important to note that pricing for proprietary models is subject to change.;Low-code ML
;Which foundation models are offered in Amazon SageMaker JumpStart?;The two types of foundation models offered by Amazon SageMaker JumpStart are publicly available models and proprietary models. SageMaker JumpStart provides publicly available models such as FLAN T5, Bloom, GTP-2, and Stable Diffusion models which can be accessed through SageMaker Studio UI, JumpStart in the AWS console, and SageMaker JumpStart APIs. These models can be fine-tuned, deployed, and you can have complete ownership of the model weights and scripts. Hourly rates based on SageMaker pricing are charged for training jobs and endpoints. Proprietary models, such as Jurassic models from AI21, Cohere model from Cohere, and Lyra-Fr model from LightOn are preview models that can be found on SageMaker JumpStart in the AWS console and can be evaluated through the try-out feature. Although deploying these models to an endpoint using a Jupyter notebook will incur charges based on SageMaker pricing, evaluating them via the try-out feature will not. It is important to note that pricing for proprietary models is subject to change.;Low-code ML
;How do I get started with foundation models using Amazon SageMaker JumpStart?;To get started with publicly available foundation models, you can access SageMaker JumpStart in SageMaker Studio. The getting started page provides a list of all publicly available foundation models. To get started with proprietary foundation models that are in preview, you can access SageMaker JumpStart in the AWS Console. The preview experience includes the try out feature for each model and a subscription process for proprietary models.;Low-code ML
;What are the initial steps for utilizing foundation models on Amazon SageMaker JumpStart?;In order to begin using foundation models that are available to the public, you can visit SageMaker JumpStart in SageMaker Studio, where a page on how to get started is provided, including a compilation of all publicly available models. If you wish to use foundation models that are still in preview and thus proprietary, you can go to SageMaker JumpStart in the AWS Console and experience the preview process, where you can try out each model and follow a subscription process for the proprietary ones.;Low-code ML
